NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY,LAT,LON
Friendship PCS - Chamberlain Elementary,Washington Navy Yard,0.3044967360834271,20003,DC,Washington,11001,38.87933,-76.986711
Friendship PCS - Chamberlain Middle,Washington Navy Yard,0.3044967360834271,20003,DC,Washington,11001,38.87933,-76.986711
Washington High School,Sporlan Valve Plant #1,0.30534633694176266,63090,MO,Washington,29071,38.547964,-91.009187
HENRY W. LONGFELLOW,San German Ground Water Contamination,0.30560476585811586,683,PR,SAN GERMAN,72125,18.080283,-67.03719
WEST SIDE ELEMENTARY SCHOOL,Picayune Wood Treating,0.3062189858766616,39466,MS,Picayune,28109,30.528861,-89.690195
SALTZMAN EAST MEMORIAL ELEMENTARY SCHOOL,Preferred Plating Corp.,0.30775673847907575,11735,NY,FARMINGDALE,36103,40.7176,-73.4307
Tweedy Elementary,Cooper Drum Company,0.3091159799529354,90280,CA,South Gate,6037,33.943093,-118.182354
CASS LAKE-BENA AREA LRNG. CNTR.,St. Regis Paper Co.,0.30965728913989876,56633,MN,CASS LAKE,27021,47.379926,-94.603905
Garfield Elementary School,Riverside Industrial Park,0.31085941916738274,7032,NJ,KEARNY,34017,40.7646,-74.1533
LANIER-JAMES EDUCATION CENTER,Petroleum Products Corp.,0.312975347083215,33009,FL,HALLANDALE BEACH,12011,25.992732,-80.164617
Patterson High,Kane & Lombard Street Drums,0.31389402254664184,21224,MD,Baltimore,24510,39.293649,-76.536571
ST. LOUIS PARK SPECIAL ED. PROGRAM,Highway 100 and County Road 3 Groundwater Plume,0.3161081023036545,55416,MN,SAINT LOUIS PARK,27053,44.93947,-93.359151
Crittenden Middle,Teledyne Semiconductor,0.31779702612109445,94043,CA,Mountain View,6085,37.411647,-122.085432
NASSAU CO JUVENILE DETENTION CENTER,New Cassel/Hicksville Ground Water Contamination,0.31870286851738233,11590,NY,WESTBURY,36059,40.754784,-73.554514
Alamo Elementary,Alamo Contaminated Ground Water,0.3190367745266074,38001,TN,Alamo,47033,35.7839,-89.1123
Meridian Impact Re-Engagement,Oeser Co,0.32184660280093397,98225,WA,Bellingham,53073,48.76569,-122.512861
Bonner School,Milltown Reservoir Sediments,0.32260821776916687,59823,MT,Bonner,30063,46.869339,-113.872267
Bonner 6-8,Milltown Reservoir Sediments,0.32260821776916687,59823,MT,Bonner,30063,46.869339,-113.872267
Casimer M. Dallago Jr. Impact Center,Former Kil-Tone Company,0.32308059719701404,8360,NJ,VINELAND,34011,39.482993,-75.02454
MINEOLA HIGH SCHOOL,Fulton Avenue,0.3245918219279396,11040,NY,GARDEN CITY PARK,36059,40.742,-73.6577
GRANT ELEMENTARY SCHOOL,Iowa-Nebraska Light & Power Co,0.3247622601390654,68701,NE,NORFOLK,31119,42.030432,-97.422854
HENRYETTA ES,Henryetta Iron and Metal,0.3252164360064017,74437,OK,Henryetta,40111,35.442643,-96.004597
Heliotrope Avenue Elementary,Pemaco Maywood,0.3256676668386792,90270,CA,Maywood,6037,33.985754,-118.17695
Gloria M Sabater Elementary School,Former Kil-Tone Company,0.3269566525160981,8360,NJ,VINELAND,34011,39.4831,-75.0252
PS 38 PACIFIC (THE),Gowanus Canal,0.3286600647575064,11217,NY,BROOKLYN,36047,40.685,-73.9829
JUVENILE JUSTICE ALTERNATIVE EDUCATION PROGRAM,United Creosoting Co.,0.33070536858220484,77301,TX,CONROE,48339,30.333977,-95.45181
JUVENILE DETENTION CTR,United Creosoting Co.,0.33070536858220484,77301,TX,CONROE,48339,30.333977,-95.45181
West Essex Middle School,Caldwell Trucking Co.,0.33112398644492314,7006,NJ,NORTH CALDWELL,34013,40.8741,-74.2658
PS 151 LYNDON B JOHNSON,Wolff-Alport Chemical Company,0.3321135941251572,11237,NY,BROOKLYN,36047,40.6934,-73.9083
Crooked Billet El Sch,Raymark,0.3337375154901231,19040,PA,Hatboro,42091,40.184479,-75.099367
ELEMENTAL URBANA DE VEGA ALTA,Vega Alta Public Supply Wells,0.3338500198790149,692,PR,VEGA ALTA,72143,18.413122,-66.329311
CORDELLO AVENUE ELEMENTARY SCHOOL,"MacKenzie Chemical Works, Inc.",0.3363751372881536,11722,NY,CENTRAL ISLIP,36103,40.7841,-73.2044
Old Mill Elementary School,"Waldick Aerospace Devices, Inc.",0.33649564670341037,8750,NJ,SEA GIRT,34025,40.1421,-74.055
Boston Renaissance Charter Public School,Lower Neponset River,0.33655403764596276,2136,MA,Hyde Park,25025,42.250753,-71.126542
San Miguel Elementary,"Advanced Micro Devices, Inc. (Building 915)",0.3366375462945282,94085,CA,Sunnyvale,6085,37.3914,-122.0085
NASSAU BOCES,Old Roosevelt Field Contaminated Ground Water Area,0.33701174311693755,11530,NY,GARDEN CITY,36059,40.728794,-73.619138
Abraham Lincoln,Silresim Chemical Corp.,0.3371450084579274,1851,MA,Lowell,25017,42.630319,-71.320249
TRANSITION PLUS SERVICES,South Minneapolis Residential Soil Contamination,0.33742547599553085,55407,MN,MINNEAPOLIS,27053,44.947926,-93.243024
ARMWOOD HIGH SCHOOL,Taylor Road Landfill,0.33819386501383103,33584,FL,SEFFNER,12057,28.005626,-82.296122
Juan Pablo Duarte - Jose Julian Marti School No 28,Chemical Control,0.33827969755911824,7206,NJ,ELIZABETH,34039,40.6463,-74.1885
