NAME,Site_Name,distance_to_site_miles
Waynesboro Middle School,Mallory Capacitor Co.,0.3732614885399629
VERONA HIGH,Syntex Facility,0.3733540380858341
VERONA ELEM.,Syntex Facility,0.3733540380858341
Portola High,El Toro Marine Corps Air Station,0.3734360500708284
Maple Wood Elementary School,Somersworth Sanitary Landfill,0.37433846509850704
Dover Middle School,Dover Municipal Well 4,0.3757566364750796
East Dover Elementary School,Dover Municipal Well 4,0.3757566364750796
WOODMONT CHARTER SCHOOL,Normandy Park Apartments,0.37648244240684553
Tweedy Elementary,Southern Avenue Industrial Area,0.37657841871928444
DePue High School,DePue/New Jersey Zinc/Mobil Chemical Corp.,0.3775224726307002
DePue Elem School,DePue/New Jersey Zinc/Mobil Chemical Corp.,0.3775224726307002
Providencia Elementary,San Fernando Valley (Area 1),0.3777470073655531
ALOMA HIGH CHARTER,"City Industries, Inc.",0.37900679971325557
Prescott Elementary School,Peoples Natural Gas Co.,0.3799401669740865
Jackson Junior High,Argonaut Mine,0.3804106163536472
PS 68 CAMBRIDGE,Wolff-Alport Chemical Company,0.38262606222639334
Shandin Hills Middle,Newmark Ground Water Contamination,0.3832270154046794
Cajon High,Newmark Ground Water Contamination,0.383746779444686
Mona Shores Middle School,Kaydon Corp.,0.3859842867551786
Cadence Park,El Toro Marine Corps Air Station,0.38664402554602295
SCHUYLERVILLE HIGH SCHOOL,Hudson River PCBs,0.38707530631139664
GARDEN CITY HIGH SCHOOL,Fulton Avenue,0.38793896938804495
Florida Avenue Elementary School,Bayou Bonfouca,0.38829948902834943
HEYBURN ELEMENTARY SCHOOL,St. Maries Creosote,0.38866027642730405
SOUTH SALEM ELEMENTARY SCHOOL,Port Washington Landfill,0.3893356838292597
SOUTH SIDE ELEMENTARY SCHOOL,Picayune Wood Treating,0.38951249770975127
Sci Tech Engr Arts and Math at Legacy High Sch Complex,Cooper Drum Company,0.3905765602761176
Visual and Performing Arts at Legacy High School Complex,Cooper Drum Company,0.3905765602761176
International Studies Lrng Center at Legacy High Sch Complex,Cooper Drum Company,0.3905765602761176
Paden City Elementary School,Paden City Groundwater,0.39066499812314126
RESERVED FOR FUTURE USE,"Lane Plating Works, Inc.",0.3908042035804777
BARACK OBAMA MALE LEADERSHIP ACAD AT A MACEO SMITH,"Lane Plating Works, Inc.",0.3908042035804777
MATH AND SCIENCE EXPLORATORY SCHOOL (THE),Gowanus Canal,0.3911538164030282
BROOKLYN HIGH SCHOOL OF THE ARTS,Gowanus Canal,0.3911538164030282
Skyline Math & Science Academy OLL,South Minneapolis Residential Soil Contamination,0.3917514298745221
Skyline Math and Science Academy,South Minneapolis Residential Soil Contamination,0.3917514298745221
COLUMBUS RESIDENTIAL JUVENILE FACILITY,Reeves Southeastern Galvanizing Corp.,0.39204481797203006
Ridgeview Elem,"Chemical Commodities, Inc.",0.3936401278877231
West Orange Early Childhood Learning Center,U.S. Radium Corp.,0.39436196041775584
TEXANS CAN ACADEMY - SAN ANTONIO,R & H Oil Company,0.39441086532057124
TAMPA RESIDENTIAL FACILITY,Reeves Southeastern Galvanizing Corp.,0.395115784294749
Gulph EL Sch,Stanley Kessler,0.39528887292228576
Morgan Center School,Bremerton Gasworks,0.39565479703996376
Bremerton High School,Bremerton Gasworks,0.39565479703996376
Dr. J.P. Cleary Elementary School,Garden State Cleaners Co.,0.39614405139885905
Great Falls Elementary School,Keddy Mill,0.39651322237124226
Maywood Campus,Maywood Chemical Co.,0.39686286272208765
JOSE COLLAZO COLON,Juncos Landfill,0.3971985661059673
Brick Township Memorial High School,Brick Township Landfill,0.39846271913023795
PS 261 ZIPPORIAH MILLS,Gowanus Canal,0.39946194505505034
West De Pere High,Better Brite Plating Chrome & Zinc Shops,0.3998764181249735
POLK FULL TIME ESCHOOL,Landia Chemical Company,0.40016262673162944
POLK VIRTUAL FRANCHISE,Landia Chemical Company,0.40016262673162944
POLK VIRTUAL INSTRUCTION PROGRAM,Landia Chemical Company,0.40016262673162944
West High,Utah Power & Light/American Barrel Co.,0.40058219922164984
Hillcrest Jr High,Murray Smelter,0.4009803070596252
HIALEAH GARDENS SENIOR HIGH SCHOOL,"Pepper Steel & Alloys, Inc.",0.4016605540892786
Amador County ROP,Argonaut Mine,0.40192032902708186
Amador County Special Education,Argonaut Mine,0.40192032902708186
Nelson Elementary,Industrial Waste Processing,0.4025524944931462
Ardmore Elementary School,Ten-Mile Drain,0.40275895096978775
Cascade Heights Public Charter School,Northwest Pipe & Casing/Hall Process Co,0.40422982533951196
Mary Raber Elementary School,Wayne Waste Oil,0.40570880334191084
